-2.0 -2.0 (-5.955808670476661e-10, -5.955808670476661e-10) | 2.0000000000000003e-06 2.0000000000000003e-06 (1.9999957971012313e-06, 1.9999957971012313e-06) | -2.6666666666666665 -2.6666666666666665 (-7.941078227302216e-10, -7.941078227302214e-10) | 2.0000000000000003e-06 2.0000000000000003e-06 (1.999997898550616e-06, 1.999997898550616e-06) | 1.3333333333333333 1.3333333333333333 (1.4728341725062212e-12, 1.4728341725062212e-12) | 
-2.0000000000032427 -1.9999999779420086 (-5.9069959667512794e-05, 7.331827393396212e-06) | 2.0108888967797227e-06 2.0109222788654896e-06 (2.0109440625834325e-06, 2.0109107026793354e-06) | -2.66666666667099 -2.6666666372560113 (-7.8759946223355e-05, 9.77576985785253e-06) | 2.010888908220979e-06 2.0109223014591037e-06 (2.0109164796783292e-06, 2.0109165240416494e-06) | 1.3333333333333413 1.3333333406870929 (-1.9689784369356532e-05, 2.4441446543029007e-06) | 
-2.0000003216072653 -1.9999999169737328 (-0.000117496994560229, 1.452057489449e-05) | 2.0218374009510833e-06 2.0219041330532357e-06 (2.0219516108384892e-06, 2.021885287799568e-06) | -2.666667095476354 -2.666666555964977 (-0.00015666265941358256, 1.936076652596031e-05) | 2.0218372622183208e-06 2.0219041982266536e-06 (2.021894018206095e-06, 2.0218948363325184e-06) | 1.3333332261331012 1.3333333610109588 (-3.916546045629659e-05, 4.840396035356004e-06) | 
-2.0000009613149325 -1.9999998102218681 (-0.00017529390456906722, 2.5243420499911206e-05) | 2.0328458352767576e-06 2.0329477561403653e-06 (2.0330187681610707e-06, 2.0329180173449432e-06) | -2.66666794841991 -2.6666664136291574 (-0.00023372520609190572, 3.365789399982806e-05) | 2.0328453829832214e-06 2.032947887844279e-06 (2.0329308360074633e-06, 2.0329331761023615e-06) | 1.333333012898325 1.3333333965960337 (-5.84310948910746e-05, 8.414680142278121e-06) | 
-2.0000019156955546 -1.9999996983468173 (-0.00023247270449892782, 2.531216590369819e-05) | 2.043914524295919e-06 2.044046254760263e-06 (2.044145862573894e-06, 2.0440163982746015e-06) | -2.6666692209274063 -2.666666264462423 (-0.0003099636059981898, 3.374955453818175e-05) | 2.043913593259305e-06 2.0440464565658936e-06 (2.0440272566356207e-06, 2.0440317889656425e-06) | 1.3333326947725759 1.3333334338888485 (-7.749069260839253e-05, 8.437597539279188e-06) | 
-2.000003181383856 -1.999999569611454 (-0.0002890452228613263, 2.539637557444945e-05) | 2.0550437943336485e-06 2.0552053511622202e-06 (2.0553332238375245e-06, 2.055175378448575e-06) | -2.6666709085118083 -2.666666092815272 (-0.0003853936304811203, 3.386183409915018e-05) | 2.0550422175517674e-06 2.055205632772532e-06 (2.0551836053326052e-06, 2.055191028211749e-06) | 1.3333322728776127 1.3333334768017797 (-9.634819644515456e-05, 8.465669716705528e-06) | 
-2.0000047550789612 -1.9999994361559126 (-0.00034502310491166656, 2.5502063697023195e-05) | 2.066233973510394e-06 2.0664253793531307e-06 (2.0665811834601e-06, 2.066395273155467e-06) | -2.6666730067719486 -2.66666591487455 (-0.0004600308065479005, 3.4002751595880074e-05) | 2.066231582136573e-06 2.0664257443570723e-06 (2.066400209038491e-06, 2.0664112001145767e-06) | 1.3333317483137272 1.3333335212881163 (-0.00011500748815289134, 8.500901403114751e-06) | 
-2.000006633543397 -1.9999993001725669 (-0.0004004178157143996, 5.363635693832679e-06) | 2.0774853917514864e-06 2.0776961459017038e-06 (2.0778900747071677e-06, 2.07768693879703e-06) | -2.6666755113911957 -2.666665733563422 (-0.0005338904209511297, 7.151514258256302e-06) | 2.0774820150696965e-06 2.0776965965720598e-06 (2.0776773964006506e-06, 2.077692632880673e-06) | 1.3333311221600777 1.3333335666170651 (-0.00013347238941947959, 1.7880944051586247e-06) | 
-2.00000881360211 -1.9999991485411275 (-0.0004552406430772529, 3.2725875374592504e-05) | 2.088798380796708e-06 2.089053192620942e-06 (2.089260232611504e-06, 2.0890155161075027e-06) | -2.6666784181361467 -2.6666655313881695 (-0.0006069875241011092, 4.363450049922848e-05) | 2.0887938461964216e-06 2.0890537388094973e-06 (2.089015497783032e-06, 2.089035688423331e-06) | 1.3333303954750149 1.3333336171620624 (-0.00015174666284721857, 1.0908843330012094e-05) | 
-2.0000112921415045 -1.9999989755778405 (-0.0005095027005687898, 3.242819346766204e-05) | 2.1001732742099135e-06 2.1004577941075106e-06 (2.1006919939831013e-06, 2.1004204091783407e-06) | -2.6666817228553397 -2.6666653007704535 (-0.0006793369340892553, 4.323759128994128e-05) | 2.100167407160684e-06 2.1004584481870716e-06 (2.1004148452755256e-06, 2.100440715461009e-06) | 1.3333295692964044 1.3333336748176863 (-0.00016983401295868317, 1.080961841668162e-05) | 
